game,ply,move,color,destination_square,pitch_hz,pitch_midi,harmonic_richness,partial_hz,partial_midi,harmony_hz,harmony_midi,harmony_interval_ratio,attack_influence_balance,is_capture,is_check,dynamics_label,loudness
sicilian_najdorf,10,a7a6,black,a6,586.67,73.98,3,586.67;1173.33;1760.00,73.98;85.98;93.00,829.67,79.98,1.4142,46.000,False,False,calm,0.35
sicilian_najdorf,11,f1e2,white,e2,412.50,67.88,1,412.50,67.88,583.36,73.88,1.4142,33.750,False,False,calm,0.35
sicilian_najdorf,12,e7e5,black,e5,733.33,77.84,3,733.33;1466.67;2200.00,77.84;89.84;96.86,1037.09,83.84,1.4142,21.500,False,False,active,0.55
sicilian_najdorf,13,d4b3,white,b3,366.67,65.84,1,366.67,65.84,518.54,71.84,1.4142,33.500,False,False,active,0.55
sicilian_najdorf,14,f8e7,black,e7,880.00,81.00,3,880.00;1760.00;2640.00,81.00;93.00;100.02,1244.51,87.00,1.4142,34.250,False,False,calm,0.35
sicilian_najdorf,15,e1g1,white,g1,412.50,67.88,1,412.50,67.88,583.36,73.88,1.4142,43.250,False,False,active,0.55
sicilian_najdorf,16,e8g8,black,g8,880.00,81.00,3,880.00;1760.00;2640.00,81.00;93.00;100.02,1244.51,87.00,1.4142,34.250,False,False,active,0.55
sicilian_najdorf,17,c1e3,white,e3,495.00,71.04,1,495.00,71.04,700.04,77.04,1.4142,70.250,False,False,active,0.55
sicilian_najdorf,18,c8e6,black,e6,880.00,81.00,3,880.00;1760.00;2640.00,81.00;93.00;100.02,1244.51,87.00,1.4142,51.500,False,False,active,0.55
sicilian_najdorf,19,c3d5,white,d5,660.00,76.02,1,660.00,76.02,933.38,82.02,1.4142,49.000,False,False,tense,0.75
sicilian_najdorf,20,e6d5,black,d5,660.00,76.02,3,660.00;1320.00;1980.00,76.02;88.02;95.04,933.38,82.02,1.4142,25.000,True,False,tense,0.75
