game,ply,move,color,destination_square,pitch_hz,pitch_midi,harmonic_richness,partial_hz,partial_midi,harmony_hz,harmony_midi,harmony_interval_ratio,attack_influence_balance,is_capture,is_check,dynamics_label,loudness
sicilian_najdorf,10,a7a6,black,a6,971.60,82.71,3,971.60;1943.20;2914.80,82.71;94.71;101.73,1374.05,88.71,1.4142,46.000,False,False,calm,0.35
sicilian_najdorf,11,f1e2,white,e2,444.15,69.16,1,444.15,69.16,628.12,75.16,1.4142,33.750,False,False,calm,0.35
sicilian_najdorf,12,e7e5,black,e5,1082.84,84.59,3,1082.84;2165.69;3248.53,84.59;96.59;103.61,1531.37,90.59,1.4142,21.500,False,False,active,0.55
sicilian_najdorf,13,d4b3,white,b3,448.33,69.32,1,448.33,69.32,634.04,75.32,1.4142,33.500,False,False,active,0.55
sicilian_najdorf,14,f8e7,black,e7,1961.51,94.88,3,1961.51;3923.02;5884.54,94.88;106.88;113.90,2774.00,100.88,1.4142,34.250,False,False,calm,0.35
sicilian_najdorf,15,e1g1,white,g1,412.50,67.88,1,412.50,67.88,583.36,73.88,1.4142,43.250,False,False,active,0.55
sicilian_najdorf,16,e8g8,black,g8,3300.00,103.88,3,3300.00;6600.00;9900.00,103.88;115.88;122.90,4666.90,109.88,1.4142,34.250,False,False,active,0.55
sicilian_najdorf,17,c1e3,white,e3,597.78,74.31,1,597.78,74.31,845.39,80.31,1.4142,70.250,False,False,active,0.55
sicilian_najdorf,18,c8e6,black,e6,1457.40,89.73,3,1457.40;2914.80;4372.19,89.73;101.73;108.75,2061.07,95.73,1.4142,51.500,False,False,active,0.55
sicilian_najdorf,19,c3d5,white,d5,962.53,82.55,1,962.53,82.55,1361.22,88.55,1.4142,49.000,False,False,tense,0.75
sicilian_najdorf,20,e6d5,black,d5,962.53,82.55,3,962.53;1925.05;2887.58,82.55;94.55;101.57,1361.22,88.55,1.4142,25.000,True,False,tense,0.75
